Method,Duration,Sample Rate,Noise,Seed,Dim,x0,runtime
SSR,3.7557236426468257,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.018554210662841797
SR3,3.7557236426468257,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.0031991004943847656
MIOSR,3.7557236426468257,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.8643941879272461
MIOSR-Opt,3.7557236426468257,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.8420066833496094
MIOSR-Build,3.7557236426468257,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.019162654876708984
Preprocessing,6.217625127083679,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.005926847457885742
E-STLSQ,6.217625127083679,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.3555922508239746
STLSQ,6.217625127083679,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.0071544647216796875
SSR,6.217625127083679,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.022317886352539062
SR3,6.217625127083679,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.004148960113525391
MIOSR,6.217625127083679,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.7971081733703613
MIOSR-Opt,6.217625127083679,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.7702319622039795
MIOSR-Build,6.217625127083679,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.02241373062133789
Preprocessing,10.293319184075452,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.00848698616027832
E-STLSQ,10.293319184075452,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.6151571273803711
STLSQ,10.293319184075452,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.014178991317749023
SSR,10.293319184075452,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.0318448543548584
SR3,10.293319184075452,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.06292343139648438
MIOSR,10.293319184075452,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.7711277008056641
MIOSR-Opt,10.293319184075452,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.7454354763031006
MIOSR-Build,10.293319184075452,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.02071356773376465
Preprocessing,17.040657431039403,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.011690855026245117
E-STLSQ,17.040657431039403,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.8726174831390381
STLSQ,17.040657431039403,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.017955780029296875
SSR,17.040657431039403,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.04012131690979004
SR3,17.040657431039403,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.09250330924987793
MIOSR,17.040657431039403,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.7903933525085449
MIOSR-Opt,17.040657431039403,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.7587416172027588
MIOSR-Build,17.040657431039403,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.02456808090209961
Preprocessing,28.210920159872682,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.015452146530151367
E-STLSQ,28.210920159872682,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",1.3955438137054443
STLSQ,28.210920159872682,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.021457672119140625
SSR,28.210920159872682,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.050426483154296875
SR3,28.210920159872682,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.11108994483947754
MIOSR,28.210920159872682,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.759286642074585
MIOSR-Opt,28.210920159872682,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.72409987449646
MIOSR-Build,28.210920159872682,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.023708105087280273
Preprocessing,46.70336338180629,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.02461409568786621
E-STLSQ,46.70336338180629,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",2.0861923694610596
STLSQ,46.70336338180629,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.034246206283569336
SSR,46.70336338180629,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.07348036766052246
SR3,46.70336338180629,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.16542744636535645
MIOSR,46.70336338180629,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.7701802253723145
MIOSR-Opt,46.70336338180629,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.7307252883911133
MIOSR-Build,46.70336338180629,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.021940946578979492
Preprocessing,77.31772444188466,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.039783477783203125
E-STLSQ,77.31772444188466,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",3.1231908798217773
STLSQ,77.31772444188466,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.058165788650512695
SSR,77.31772444188466,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.1295919418334961
SR3,77.31772444188466,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.27132153511047363
MIOSR,77.31772444188466,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.8354089260101318
MIOSR-Opt,77.31772444188466,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.7790241241455078
MIOSR-Build,77.31772444188466,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.0258786678314209
Preprocessing,128.0,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.06748437881469727
E-STLSQ,128.0,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",5.601933240890503
STLSQ,128.0,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.1048431396484375
SSR,128.0,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.20596694946289062
SR3,128.0,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.4577450752258301
MIOSR,128.0,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.93471360206604
MIOSR-Opt,128.0,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.8602864742279053
MIOSR-Build,128.0,0.002,0.002,39,10,"(-1.0994464607217895, -0.33362023021576337)",0.028653860092163086
