Method,Duration,Sample Rate,Noise,Seed,x0,insample_r2,validation_r2,validation_mse,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime,threshold,alpha,nu,group_sparsity
E-STLSQ,0.9389309106617063,0.002,0.002,35,"(-0.12583515532772838, -0.574951179105265, -0.8055388648933132, -0.6677263447316223, 0.9517044357080096, -1.1659600917225055)",-0.9633730736829337,-0.12164799531857247,2.6437591100385127,0.5351169716907493,1.438262522648734,0.26019435022772436,0.34053105490487046,0.4444444444444444,0.4666666666666667,7.0,3.0,5.0,44.42686319351196,0.7029732115325472,0.05,,
SR3,0.9389309106617063,0.002,0.002,35,"(-0.12583515532772838, -0.574951179105265, -0.8055388648933132, -0.6677263447316223, 0.9517044357080096, -1.1659600917225055)",0.9815840779390609,-49416.20883183767,103476.36932266409,-224829.4274170109,1087.909167238357,918.7327188976682,298.3135131703086,260.3392757371919,0.029498525073746312,10.0,327.0,2.0,32.85956263542175,100.0,,3.3333333333333335,
SSR,0.9389309106617063,0.002,0.002,35,"(-0.12583515532772838, -0.574951179105265, -0.8055388648933132, -0.6677263447316223, 0.9517044357080096, -1.1659600917225055)",0.9786311506225008,0.9895552172032261,0.03427379301826197,0.9999642305331037,0.02207169545784833,0.0016005566518572248,0.002339883861008587,0.004238557147740549,1.0,12,0,0,2.6599833965301514,,"(0.2, 0.05, 0.05, 0.2, 0.2, 0.01)",,
MIOSR,0.9389309106617063,0.002,0.002,35,"(-0.12583515532772838, -0.574951179105265, -0.8055388648933132, -0.6677263447316223, 0.9517044357080096, -1.1659600917225055)",0.9786364829237266,0.9895437282254914,0.034311033783260926,0.9999627409125059,0.02452844299923681,0.0016231300258302847,0.0020916317340226773,0.00319007165262164,1.0,12,0,0,2623.1895756721497,,"(0, 0, 0, 0, 0, 0)",,"(2, 2, 2, 2, 2, 2)"
STLSQ,1.2866648980094317,0.002,0.002,35,"(-0.12583515532772838, -0.574951179105265, -0.8055388648933132, -0.6677263447316223, 0.9517044357080096, -1.1659600917225055)",0.6059441041896823,-1.3646870097613986,0.9367385426841452,0.6040136641607206,1.390069605852184,0.29652848752289335,0.38706218694732325,0.4444444444444444,0.5384615384615384,7.0,1.0,5.0,9.352054595947266,0.6105402296585326,0.05,,
E-STLSQ,1.2866648980094317,0.002,0.002,35,"(-0.12583515532772838, -0.574951179105265, -0.8055388648933132, -0.6677263447316223, 0.9517044357080096, -1.1659600917225055)",0.5872294312447424,-1.3658249542698047,0.9702662763660186,0.5401732632577726,1.4181644539608218,0.23653219584059623,0.3379341458971346,0.4444444444444444,0.5833333333333334,7.0,0.0,5.0,53.39543342590332,0.7029732115325472,0.05,,
SR3,1.2866648980094317,0.002,0.002,35,"(-0.12583515532772838, -0.574951179105265, -0.8055388648933132, -0.6677263447316223, 0.9517044357080096, -1.1659600917225055)",0.2277248999014858,-3.9552678849575993,47.26260539648208,-127.00826220936479,42.601006242226774,9.513980053524632,6.493716322565764,8.060458733968,0.04,2.0,38.0,10.0,40.505839347839355,100.0,,3.3333333333333335,
SSR,1.2866648980094317,0.002,0.002,35,"(-0.12583515532772838, -0.574951179105265, -0.8055388648933132, -0.6677263447316223, 0.9517044357080096, -1.1659600917225055)",0.9951094950598272,0.9605737944211411,0.03509486361998904,0.9999738838133367,0.01768736223677508,0.0009492016702463801,0.0009746818941137106,0.0009749347803017135,1.0,12,0,0,2.9183242321014404,,"(0.2, 0.2, 0.05, 0.2, 0.2, 0.05)",,
MIOSR,1.2866648980094317,0.002,0.002,35,"(-0.12583515532772838, -0.574951179105265, -0.8055388648933132, -0.6677263447316223, 0.9517044357080096, -1.1659600917225055)",0.9951103933226312,0.9605386263635315,0.0351138740883442,0.9999652348013417,0.019962398320789537,0.0007817084800803601,0.0009011519909980938,0.0014677817702262175,1.0,12,0,0,2066.1396379470825,,"(0, 0, 0, 0, 0, 0)",,"(2, 2, 2, 2, 2, 2)"
STLSQ,1.7631825099920424,0.002,0.002,35,"(-0.12583515532772838, -0.574951179105265, -0.8055388648933132, -0.6677263447316223, 0.9517044357080096, -1.1659600917225055)",0.9953126151157021,0.9951715406138092,0.03935437122532572,0.9999798960640398,0.01896701606141216,0.000414780082852236,0.0004930906628149477,0.0005823538233914584,1.0,12.0,0.0,0.0,10.902961730957031,0.34738921120831157,0.05,,
E-STLSQ,1.7631825099920424,0.002,0.002,35,"(-0.12583515532772838, -0.574951179105265, -0.8055388648933132, -0.6677263447316223, 0.9517044357080096, -1.1659600917225055)",0.995311573088046,0.9951715848003791,0.03933910332542112,0.9999828167297089,0.01779605917411351,0.0006761704584385445,0.0006984440472804938,0.000643823309148238,1.0,12.0,0.0,0.0,64.85022354125977,0.34738921120831157,0.05,,
SR3,1.7631825099920424,0.002,0.002,35,"(-0.12583515532772838, -0.574951179105265, -0.8055388648933132, -0.6677263447316223, 0.9517044357080096, -1.1659600917225055)",-0.039693033698465885,-0.21189786220586015,23.800169297639744,-0.0022156090374465384,4.5182356792441105,1.0,1.0,1.0,0.0,0.0,0.0,12.0,54.797630310058594,82.86427728546842,,3.3333333333333335,
SSR,1.7631825099920424,0.002,0.002,35,"(-0.12583515532772838, -0.574951179105265, -0.8055388648933132, -0.6677263447316223, 0.9517044357080096, -1.1659600917225055)",0.9953125703603387,0.9951716283385391,0.039351542973238986,0.9999798269151183,0.018464597481770862,0.0005247893283327088,0.0006111026871385198,0.0007490973664020394,1.0,12,0,0,3.2323155403137207,,"(0.2, 0.01, 0.001, 0.01, 0.01, 0.05)",,
MIOSR,1.7631825099920424,0.002,0.002,35,"(-0.12583515532772838, -0.574951179105265, -0.8055388648933132, -0.6677263447316223, 0.9517044357080096, -1.1659600917225055)",0.9953126151157021,0.9951715406138092,0.03935437122532572,0.9999798960640398,0.01896701606141216,0.000414780082852236,0.0004930906628149477,0.0005823538233914584,1.0,12,0,0,1620.8818213939667,,"(0, 0, 0, 0, 0, 0)",,"(2, 2, 2, 2, 2, 2)"
STLSQ,2.4161788888088944,0.002,0.002,35,"(-0.12583515532772838, -0.574951179105265, -0.8055388648933132, -0.6677263447316223, 0.9517044357080096, -1.1659600917225055)",0.9955152124679646,0.9923580025145876,0.03803792453109952,0.9999797957406177,0.018364234780133923,0.0003912247397171183,0.0004305691803539009,0.0005129316252344572,1.0,12.0,0.0,0.0,12.801794052124023,0.22758459260747882,0.05,,
E-STLSQ,2.4161788888088944,0.002,0.002,35,"(-0.12583515532772838, -0.574951179105265, -0.8055388648933132, -0.6677263447316223, 0.9517044357080096, -1.1659600917225055)",0.9955144716808184,0.9923564281945847,0.038031322522559426,0.9999787426240119,0.018654362453442222,0.0006589390744129231,0.0007466959877801825,0.0009486444930597829,1.0,12.0,0.0,0.0,77.87444806098938,0.5302611335911988,0.05,,
SR3,2.4161788888088944,0.002,0.002,35,"(-0.12583515532772838, -0.574951179105265, -0.8055388648933132, -0.6677263447316223, 0.9517044357080096, -1.1659600917225055)",0.9891155439360829,-0.29562132497208826,4.0024446617170275,-949.0472769557937,36.3531363561112,13.954772470484617,8.268062481598978,10.59687908904389,0.08181818181818182,9.0,98.0,3.0,65.99641275405884,2.329951810515372,,1.0,
SSR,2.4161788888088944,0.002,0.002,35,"(-0.12583515532772838, -0.574951179105265, -0.8055388648933132, -0.6677263447316223, 0.9517044357080096, -1.1659600917225055)",0.9955148396816452,0.9923595816459027,0.03802954905878267,0.9999820890174942,0.017569608497927533,0.0005256411938496352,0.0005909129650071001,0.0007367127374825108,1.0,12,0,0,3.706714630126953,,"(0.2, 0.2, 0.2, 0.2, 0.0, 0.0)",,
