Method,Duration,Sample Rate,Noise,Pts/Domain,# Domains,Seed,x0,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime,threshold,alpha,nu,group_sparsity
STLSQ,50,0.002,0.02037468528039708,400,2400,20,"(0.5881308010772742, 0.897713727909418)",0.9997410834505412,0.006036910918234157,0.00048622173178738113,0.0005289328307060042,0.0006084746949612807,1.0,4.0,0.0,0.0,5.222148656845093,7.245789314111251,1e-05,,
SSR,50,0.002,0.02037468528039708,400,2400,20,"(0.5881308010772742, 0.897713727909418)",0.9997409946083226,0.006028476005133714,0.0003820084505705894,0.0004395701495599742,0.0005498497596994056,1.0,4,0,0,0.2399916648864746,,"(1e-05, 1e-05)",,
SR3,50,0.002,0.02037468528039708,400,2400,20,"(0.5881308010772742, 0.897713727909418)",0.7951351031781296,0.11011097833171657,0.7382409432742333,0.7847154574212235,0.9038712914780002,0.36363636363636365,4.0,7.0,0.0,210.07905268669128,4.416358054695248,,3.3333333333333335,
E-STLSQ,50,0.002,0.02037468528039708,400,2400,20,"(0.5881308010772742, 0.897713727909418)",0.9997407669326209,0.006019003398957386,0.00024765392911070853,0.00035485544020016896,0.0005058490377221503,1.0,4.0,0.0,0.0,10.007693767547607,6.5626828480611,1e-05,,
MIOSR,50,0.002,0.02037468528039708,400,2400,20,"(0.5881308010772742, 0.897713727909418)",0.9997410834505412,0.006036910918234157,0.00048622173178738113,0.0005289328307060042,0.0006084746949612807,1.0,4,0,0,63.41024947166443,,"(0, 0)",,"(2, 2)"
STLSQ,50,0.002,0.029082809839751277,400,2400,20,"(0.5881308010772742, 0.897713727909418)",0.9997411230143524,0.006059652561387796,0.0006219622891269737,0.0006887658648621325,0.0008195237196236604,1.0,4.0,0.0,0.0,5.2311930656433105,9.752109233635803,1e-05,,
SSR,50,0.002,0.029082809839751277,400,2400,20,"(0.5881308010772742, 0.897713727909418)",0.9997410531369895,0.006050600612255021,0.0005177348160796788,0.0006017801485200235,0.0007608754999610667,1.0,4,0,0,0.2386021614074707,,"(1e-05, 1e-05)",,
SR3,50,0.002,0.029082809839751277,400,2400,20,"(0.5881308010772742, 0.897713727909418)",0.7380449058889107,0.12921850163291063,0.7702167682225638,0.7487572335400976,0.8086596130194608,0.36363636363636365,4.0,7.0,0.0,210.68144369125366,4.8760546168179015,,3.3333333333333335,
E-STLSQ,50,0.002,0.029082809839751277,400,2400,20,"(0.5881308010772742, 0.897713727909418)",0.9997410535035571,0.006062531201079857,0.0006135071744895108,0.0006752158160607551,0.0007481521155032311,1.0,4.0,0.0,0.0,10.10152006149292,9.752109233635803,1e-05,,
MIOSR,50,0.002,0.029082809839751277,400,2400,20,"(0.5881308010772742, 0.897713727909418)",0.9997411230143524,0.006059652561387796,0.0006219622891269737,0.0006887658648621325,0.0008195237196236604,1.0,4,0,0,64.97467160224915,,"(0, 0)",,"(2, 2)"
STLSQ,50,0.002,0.04151278002752295,400,2400,20,"(0.5881308010772742, 0.897713727909418)",0.7395806392921107,0.07032100173896938,0.6852403114630934,0.6465309487002637,0.655676184985662,0.6666666666666666,4.0,2.0,0.0,5.260986328125,9.752109233635803,0.001,,
SSR,50,0.002,0.04151278002752295,400,2400,20,"(0.5881308010772742, 0.897713727909418)",0.9996138388750998,0.008356522070896402,0.009554518139740582,0.010242179023559067,0.013515132978134758,1.0,4,0,0,0.24098539352416992,,"(0.001, 0.001)",,
SR3,50,0.002,0.04151278002752295,400,2400,20,"(0.5881308010772742, 0.897713727909418)",0.7683862808111283,0.16365522229114826,0.4774414079312178,0.36844713214469094,0.42628883577640797,0.4,4.0,6.0,0.0,215.16644597053528,4.8760546168179015,,3.3333333333333335,
E-STLSQ,50,0.002,0.04151278002752295,400,2400,20,"(0.5881308010772742, 0.897713727909418)",0.7606114588500312,0.06814715268748057,0.7199169272332854,0.6225560737136386,0.6252813263327407,0.5714285714285714,4.0,3.0,0.0,9.128990173339844,9.752109233635803,0.001,,
MIOSR,50,0.002,0.04151278002752295,400,2400,20,"(0.5881308010772742, 0.897713727909418)",0.9997409757911166,0.006088728799870544,0.0007411309703917553,0.0008535414272495049,0.0010699515548362015,1.0,4,0,0,65.34033060073853,,"(0, 0)",,"(2, 2)"
STLSQ,50,0.002,0.05925530975545678,400,2400,20,"(0.5881308010772742, 0.897713727909418)",0.7144506963686873,0.07563899146707383,0.8206123876545495,0.6830308934164997,0.6759873574404307,0.5714285714285714,4.0,3.0,0.0,5.2269017696380615,9.752109233635803,0.001,,
SSR,50,0.002,0.05925530975545678,400,2400,20,"(0.5881308010772742, 0.897713727909418)",0.9996114295890294,0.008380044071464303,0.009533532805024949,0.010280766788126271,0.013644541950287348,1.0,4,0,0,0.24123167991638184,,"(0.001, 0.001)",,
SR3,50,0.002,0.05925530975545678,400,2400,20,"(0.5881308010772742, 0.897713727909418)",0.6194350056991459,0.21007512759893956,0.6180266861929791,0.472144260393246,0.5506762864727315,0.4,4.0,6.0,0.0,244.82615900039673,7.245789314111251,,3.3333333333333335,
E-STLSQ,50,0.002,0.05925530975545678,400,2400,20,"(0.5881308010772742, 0.897713727909418)",0.715903684140441,0.07539893736002744,0.824107290535367,0.6839959819408779,0.6748170572522072,0.5714285714285714,4.0,3.0,0.0,8.950515747070312,9.752109233635803,0.001,,
MIOSR,50,0.002,0.05925530975545678,400,2400,20,"(0.5881308010772742, 0.897713727909418)",0.9997404408312501,0.006120745223753802,0.0008142711303434864,0.000978512764633808,0.0013238619760484126,1.0,4,0,0,67.23538661003113,,"(0, 0)",,"(2, 2)"
STLSQ,50,0.002,0.08458098281751338,400,2400,20,"(0.5881308010772742, 0.897713727909418)",0.9997389410772426,0.006152314184162349,0.0008129346150752608,0.0010489705757080556,0.001475169141824928,1.0,4.0,0.0,0.0,5.19477105140686,10.767201541058844,1e-05,,
SSR,50,0.002,0.08458098281751338,400,2400,20,"(0.5881308010772742, 0.897713727909418)",0.8576902128604184,0.07691291937871883,0.696882198080713,0.6662787231785131,0.6740089377049717,0.6666666666666666,4,2,0,0.24035906791687012,,"(0.01, 0.001)",,
SR3,50,0.002,0.08458098281751338,400,2400,20,"(0.5881308010772742, 0.897713727909418)",0.4919448730518008,0.24350874753970012,0.6908072892842305,0.5414957632953042,0.6460988333633151,0.4,4.0,6.0,0.0,249.85642862319946,8.0,,1.0,
