Method,Duration,Sample Rate,Noise,Seed,Dim,x0,runtime
SR3,3.7557236426468257,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",2.331278085708618
MIOSOS,3.7557236426468257,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",75.45580005645752
MIOSOS-Opt,3.7557236426468257,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",74.77522420883179
MIOSOS-Build,3.7557236426468257,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",0.3116626739501953
Warm-MIOSOS,3.7557236426468257,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",76.94529795646667
Warm-MIOSOS-Opt,3.7557236426468257,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",76.56696152687073
Warm-MIOSOS-Build,3.7557236426468257,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",0.3661777973175049
Preprocessing,6.217625127083679,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",0.010473012924194336
STLSQ,6.217625127083679,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",2.048717737197876
SSR,6.217625127083679,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",52.57246208190918
SR3,6.217625127083679,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",5.864588022232056
MIOSOS,6.217625127083679,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",44.00573706626892
MIOSOS-Opt,6.217625127083679,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",43.18277168273926
MIOSOS-Build,6.217625127083679,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",0.37949585914611816
Warm-MIOSOS,6.217625127083679,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",44.2889130115509
Warm-MIOSOS-Opt,6.217625127083679,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",43.85958290100098
Warm-MIOSOS-Build,6.217625127083679,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",0.41047239303588867
Preprocessing,10.293319184075452,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",0.020910024642944336
STLSQ,10.293319184075452,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",2.814836025238037
SSR,10.293319184075452,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",79.62655591964722
SR3,10.293319184075452,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",7.7759480476379395
MIOSOS,10.293319184075452,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",7.754986047744751
MIOSOS-Opt,10.293319184075452,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",6.748515367507935
MIOSOS-Build,10.293319184075452,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",0.4058678150177002
Warm-MIOSOS,10.293319184075452,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",10.269605875015259
Warm-MIOSOS-Opt,10.293319184075452,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",9.716897249221802
Warm-MIOSOS-Build,10.293319184075452,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",0.5253667831420898
Preprocessing,17.040657431039403,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",0.03030085563659668
STLSQ,17.040657431039403,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",3.723573923110962
SSR,17.040657431039403,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",113.166738986969
SR3,17.040657431039403,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",10.163684844970703
MIOSOS,17.040657431039403,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",8.835402965545654
MIOSOS-Opt,17.040657431039403,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",7.450953960418701
MIOSOS-Build,17.040657431039403,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",0.5956523418426514
Warm-MIOSOS,17.040657431039403,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",8.172224760055542
Warm-MIOSOS-Opt,17.040657431039403,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",7.515605926513672
Warm-MIOSOS-Build,17.040657431039403,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",0.6237030029296875
Preprocessing,28.210920159872682,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",0.04844331741333008
STLSQ,28.210920159872682,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",4.545813083648682
SSR,28.210920159872682,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",140.54382371902466
SR3,28.210920159872682,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",14.013733863830566
MIOSOS,28.210920159872682,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",9.662917137145996
MIOSOS-Opt,28.210920159872682,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",7.851423740386963
MIOSOS-Build,28.210920159872682,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",0.6943306922912598
Warm-MIOSOS,28.210920159872682,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",8.810809135437012
Warm-MIOSOS-Opt,28.210920159872682,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",8.044158458709717
Warm-MIOSOS-Build,28.210920159872682,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",0.7161390781402588
Preprocessing,46.70336338180629,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",0.07808089256286621
STLSQ,46.70336338180629,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",7.564300060272217
SSR,46.70336338180629,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",213.04028964042664
SR3,46.70336338180629,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",19.353670835494995
MIOSOS,46.70336338180629,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",14.332841157913208
MIOSOS-Opt,46.70336338180629,0.002,0.002,1,462,"(0.6073006923886857, 1.5219312483536713, 0.5114607579405397, 0.7825332722561265, 0.3842729562765302, -0.1558073850247238)",11.566521406173706
