Method,Duration,Sample Rate,Noise,Pts/Domain,# Domains,Seed,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime
SR3,5,0.02,0.075,36,400,10,0.8739301939518523,0.8443440659308055,1.0863407597749128,0.5882352941176471,10.0,3.0,4.0,182.62492299079895
E-STLSQ,5,0.02,0.075,36,400,10,0.021504552800845345,0.023803398425793956,0.03632334050795738,1.0,14.0,0.0,0.0,0.7104520797729492
MIOSR,5,0.02,0.1,36,400,10,0.03377539105335603,0.03669801180067035,0.05607567035066752,1.0,14.0,0.0,0.0,35.702512979507446
STLSQ,5,0.02,0.1,36,400,10,0.25862205984170517,0.4215654271441316,0.7867207144619413,0.8571428571428571,12.0,0.0,2.0,1.1924164295196533
SSR,5,0.02,0.1,36,400,10,0.033775391053138405,0.036698011800401074,0.056075670350312024,1.0,14.0,0.0,0.0,0.8395736217498779
SR3,5,0.02,0.1,36,400,10,1.111691819979593,1.1115358607866141,1.8587002130395143,0.5263157894736842,10.0,5.0,4.0,179.47802686691284
E-STLSQ,5,0.02,0.1,36,400,10,0.5255194588691758,0.6656417914167151,1.0,0.6666666666666666,10.0,1.0,4.0,0.5763185024261475
MIOSR,5,0.02,0.125,36,400,10,0.04860796322685035,0.052255367070281215,0.0798171682333092,1.0,14.0,0.0,0.0,57.77820897102356
STLSQ,5,0.02,0.125,36,400,10,0.643774360950455,0.718708757393793,1.0,0.5882352941176471,10.0,3.0,4.0,1.271237850189209
SSR,5,0.02,0.125,36,400,10,0.048607963226775366,0.052255367070188415,0.07981716823311402,1.0,14.0,0.0,0.0,0.8695075511932373
SR3,5,0.02,0.125,36,400,10,1.0961009954609404,1.0818266781381918,1.7939973448024025,0.5263157894736842,10.0,5.0,4.0,179.3440408706665
E-STLSQ,5,0.02,0.125,36,400,10,0.48279270705252575,0.6138606599448,1.0,0.6666666666666666,10.0,1.0,4.0,0.6161530017852783
MIOSR,5,0.02,0.15,36,400,10,0.06598502035296835,0.07049820719065936,0.10760022270820768,1.0,14.0,0.0,0.0,74.52627229690552
STLSQ,5,0.02,0.15,36,400,10,0.8302008107085067,0.7996680878368768,1.0,0.47058823529411764,8.0,3.0,6.0,1.216496229171753
SSR,5,0.02,0.15,36,400,10,0.31024407398467363,0.3845550539315266,0.729626313671254,0.7647058823529411,13.0,3.0,1.0,0.8626368045806885
SR3,5,0.02,0.15,36,400,10,1.0754973423338747,1.0433744129018547,1.7074829676203416,0.5263157894736842,10.0,5.0,4.0,182.61141443252563
E-STLSQ,5,0.02,0.15,36,400,10,0.7292233297132471,0.7127126982795772,1.0,0.47058823529411764,8.0,3.0,6.0,0.6516788005828857
MIOSR,5,0.02,0.175,36,400,10,0.08586909042312432,0.09141354493274739,0.1394327890227529,1.0,14.0,0.0,0.0,294.680193901062
STLSQ,5,0.02,0.175,36,400,10,0.7612298687075159,0.7376561003549753,1.0,0.4444444444444444,8.0,4.0,6.0,1.2348995208740234
SSR,5,0.02,0.175,36,400,10,0.3074430605128185,0.3770189652947682,0.6985013498927226,0.7647058823529411,13.0,3.0,1.0,0.8423261642456055
SR3,5,0.02,0.175,36,400,10,1.1339601794584853,0.9795723497736101,1.0820839006859122,0.5555555555555556,10.0,4.0,4.0,182.1497585773468
E-STLSQ,5,0.02,0.175,36,400,10,0.7486178369371345,0.7364864597033288,1.0,0.47058823529411764,8.0,3.0,6.0,0.6652824878692627
MIOSR,5,0.02,0.19999999999999998,36,400,10,0.10820061269543445,0.11495730501579009,0.17527014289852771,1.0,14.0,0.0,0.0,449.49503087997437
STLSQ,5,0.02,0.19999999999999998,36,400,10,0.8703010525787965,0.7758291819795337,1.0,0.4,8.0,6.0,6.0,1.2913734912872314
SSR,5,0.02,0.19999999999999998,36,400,10,0.32031869564906074,0.37442016802099043,0.6645149149955,0.7647058823529411,13.0,3.0,1.0,0.879509687423706
SR3,5,0.02,0.19999999999999998,36,400,10,1.12285485130733,0.9683415467439057,1.0844794917417127,0.5555555555555556,10.0,4.0,4.0,181.3124725818634
E-STLSQ,5,0.02,0.19999999999999998,36,400,10,0.8993489919647959,0.8782415214606494,1.0,0.2222222222222222,4.0,4.0,10.0,0.6617264747619629
MIOSR,5,0.02,0.22499999999999998,36,400,10,0.13289575500586395,0.14105531620621636,0.21500664137134828,1.0,14.0,0.0,0.0,600.3773872852325
STLSQ,5,0.02,0.22499999999999998,36,400,10,0.8173769351968446,0.771726614600046,1.0,0.4444444444444444,8.0,4.0,6.0,1.2839789390563965
SSR,5,0.02,0.22499999999999998,36,400,10,0.5179152787889931,0.521048442046159,0.6687630853153858,0.6666666666666666,12.0,4.0,2.0,0.8778316974639893
