Method,Duration,Sample Rate,Noise,Seed,Dim,x0,runtime
STLSQ,17.040657431039403,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.06072711944580078
SSR,17.040657431039403,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.09843134880065918
SR3,17.040657431039403,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.41478681564331055
MIOSOS,17.040657431039403,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.05872988700866699
MIOSOS-Opt,17.040657431039403,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.0215911865234375
MIOSOS-Build,17.040657431039403,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.007272005081176758
Warm-MIOSOS,17.040657431039403,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.033705949783325195
Warm-MIOSOS-Opt,17.040657431039403,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.01878499984741211
Warm-MIOSOS-Build,17.040657431039403,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.006098031997680664
Preprocessing,28.210920159872682,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.006520986557006836
STLSQ,28.210920159872682,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.09342098236083984
SSR,28.210920159872682,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.13199591636657715
SR3,28.210920159872682,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.6135048866271973
MIOSOS,28.210920159872682,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.07506823539733887
MIOSOS-Opt,28.210920159872682,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.02191472053527832
MIOSOS-Build,28.210920159872682,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.006823539733886719
Warm-MIOSOS,28.210920159872682,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.039942026138305664
Warm-MIOSOS-Opt,28.210920159872682,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.017573833465576172
Warm-MIOSOS-Build,28.210920159872682,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.008690357208251953
Preprocessing,46.70336338180629,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.010833978652954102
STLSQ,46.70336338180629,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.15215682983398438
SSR,46.70336338180629,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.22397375106811523
SR3,46.70336338180629,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.8464260101318359
MIOSOS,46.70336338180629,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.1019289493560791
MIOSOS-Opt,46.70336338180629,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.01999378204345703
MIOSOS-Build,46.70336338180629,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.00811004638671875
Warm-MIOSOS,46.70336338180629,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.05180692672729492
Warm-MIOSOS-Opt,46.70336338180629,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.020003795623779297
Warm-MIOSOS-Build,46.70336338180629,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.009508371353149414
Preprocessing,77.31772444188466,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.016713857650756836
STLSQ,77.31772444188466,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.24047493934631348
SSR,77.31772444188466,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.411909818649292
SR3,77.31772444188466,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",1.0982849597930908
MIOSOS,77.31772444188466,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.15218424797058105
MIOSOS-Opt,77.31772444188466,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.018888235092163086
MIOSOS-Build,77.31772444188466,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.011662721633911133
Warm-MIOSOS,77.31772444188466,0.002,0.002,1,21,"(-0.9626656152083075, 0.552933203326048)",0.07785391807556152
