Method,Duration,Sample Rate,Noise,Seed,x0,insample_r2,validation_r2,validation_mse,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime,threshold,alpha,nu,group_sparsity
STLSQ,1.6555065597696215,0.002,0.002,7,"(1.0114227716173942, 0.5258625313294284)",0.8498527663009868,-0.06413009127616481,0.015290074704466496,-2.41252604105404,0.44322972438030234,3.3823911598468075,3.8321608902242357,7.502304947629981,0.26666666666666666,4.0,7.0,4.0,2.009180784225464,0.1206792640639329,0.05,,
E-STLSQ,1.6555065597696215,0.002,0.002,7,"(1.0114227716173942, 0.5258625313294284)",0.7938418485493763,0.06541936241208957,0.014402434052162516,-0.9656707023814596,0.3639123098754692,1.276796720180038,1.0250203506259543,1.0,0.25,3.0,4.0,5.0,10.625606060028076,0.13894954943731375,0.05,,
SR3,1.6555065597696215,0.002,0.002,7,"(1.0114227716173942, 0.5258625313294284)",0.8522432366291467,-1362737.2099378176,20896.85515108848,-6087705162.470866,19580.26188310775,254459.44059249992,163058.3621330657,183745.443669748,0.19047619047619047,8.0,34.0,0.0,1.604865550994873,0.00031622776601683794,,0.03333333333333333,
SSR,1.6555065597696215,0.002,0.002,7,"(1.0114227716173942, 0.5258625313294284)",0.8511808670652613,0.2075649778670991,0.012098748428217069,0.009083640509882307,0.26124049273241967,3.1143696827794627,2.8172145568392892,4.870218026320021,0.1111111111111111,2,10,6,0.31119751930236816,,"(0.001, 0.2)",,
MIOSR,1.6555065597696215,0.002,0.002,7,"(1.0114227716173942, 0.5258625313294284)",0.8490710175318303,0.20998498609143473,0.012016951114152373,-0.08321621647413568,0.27520291272627573,1.6044303280418644,1.4053584581649579,1.8021326122359396,0.08333333333333333,1,4,7,71.9400007724762,,"(0, 0.2)",,"(3, 2)"
STLSQ,2.1300821788799253,0.002,0.002,7,"(1.0114227716173942, 0.5258625313294284)",0.8838066490401701,0.14024197149578854,0.012072107849508556,0.4296506501434118,0.20601345043916997,1.184111806317738,0.9767279919332638,1.0,0.3076923076923077,4.0,5.0,4.0,2.1313300132751465,0.13894954943731375,0.2,,
E-STLSQ,2.1300821788799253,0.002,0.002,7,"(1.0114227716173942, 0.5258625313294284)",0.7128274180852695,-0.18370763477094965,0.019114042053964112,0.4745706227564016,0.19898622164928723,0.9365934963235557,0.8495546477244408,1.0,0.36363636363636365,4.0,3.0,4.0,11.480669498443604,0.15998587196060574,0.2,,
SR3,2.1300821788799253,0.002,0.002,7,"(1.0114227716173942, 0.5258625313294284)",0.8867351323950203,-1493011.0216276718,15511.063072655867,-193818857.6534466,3550.002500347815,52767.41007001812,30283.96134522114,37344.73337203828,0.19047619047619047,8.0,34.0,0.0,1.5292565822601318,0.00031622776601683794,,0.03333333333333333,
SSR,2.1300821788799253,0.002,0.002,7,"(1.0114227716173942, 0.5258625313294284)",0.8837865949867126,0.17682740156211696,0.011504066161411416,0.5155496665940581,0.1910713938964466,1.4149055668042982,1.7172254345617175,3.731225940724334,0.25,3,4,5,0.32222557067871094,,"(0.001, 0.05)",,
MIOSR,2.1300821788799253,0.002,0.002,7,"(1.0114227716173942, 0.5258625313294284)",0.885343882828376,0.24422843553540496,0.010838004263384299,0.44709039861372524,0.20511146473347078,1.060568129656468,0.9115226405601292,1.0,0.23076923076923078,3,5,5,79.4737753868103,,"(0.2, 0.2)",,"(4, 4)"
