Method,Duration,Sample Rate,Noise,Seed,Dim,x0,runtime
Preprocessing,2.268625044390925,0.002,0.002,15,462,"(0.9504113197896971, -1.4579059697510142, 0.003924263189996557, -0.5915499574022866, -0.9786768248570661, 0.16819288519595826)",0.004964113235473633
MIOSOS,2.268625044390925,0.002,0.002,15,462,"(0.9504113197896971, -1.4579059697510142, 0.003924263189996557, -0.5915499574022866, -0.9786768248570661, 0.16819288519595826)",1000.8234791755676
MIOSOS-Opt,2.268625044390925,0.002,0.002,15,462,"(0.9504113197896971, -1.4579059697510142, 0.003924263189996557, -0.5915499574022866, -0.9786768248570661, 0.16819288519595826)",1000.2284440994263
MIOSOS-Build,2.268625044390925,0.002,0.002,15,462,"(0.9504113197896971, -1.4579059697510142, 0.003924263189996557, -0.5915499574022866, -0.9786768248570661, 0.16819288519595826)",0.2564089298248291
Preprocessing,3.7557236426468257,0.002,0.002,15,462,"(0.9504113197896971, -1.4579059697510142, 0.003924263189996557, -0.5915499574022866, -0.9786768248570661, 0.16819288519595826)",0.0066258907318115234
MIOSOS,3.7557236426468257,0.002,0.002,15,462,"(0.9504113197896971, -1.4579059697510142, 0.003924263189996557, -0.5915499574022866, -0.9786768248570661, 0.16819288519595826)",982.5567049980164
MIOSOS-Opt,3.7557236426468257,0.002,0.002,15,462,"(0.9504113197896971, -1.4579059697510142, 0.003924263189996557, -0.5915499574022866, -0.9786768248570661, 0.16819288519595826)",981.911092042923
MIOSOS-Build,3.7557236426468257,0.002,0.002,15,462,"(0.9504113197896971, -1.4579059697510142, 0.003924263189996557, -0.5915499574022866, -0.9786768248570661, 0.16819288519595826)",0.31108903884887695
Preprocessing,6.217625127083679,0.002,0.002,15,462,"(0.9504113197896971, -1.4579059697510142, 0.003924263189996557, -0.5915499574022866, -0.9786768248570661, 0.16819288519595826)",0.010295867919921875
MIOSOS,6.217625127083679,0.002,0.002,15,462,"(0.9504113197896971, -1.4579059697510142, 0.003924263189996557, -0.5915499574022866, -0.9786768248570661, 0.16819288519595826)",15.640655994415283
MIOSOS-Opt,6.217625127083679,0.002,0.002,15,462,"(0.9504113197896971, -1.4579059697510142, 0.003924263189996557, -0.5915499574022866, -0.9786768248570661, 0.16819288519595826)",14.31380319595337
MIOSOS-Build,6.217625127083679,0.002,0.002,15,462,"(0.9504113197896971, -1.4579059697510142, 0.003924263189996557, -0.5915499574022866, -0.9786768248570661, 0.16819288519595826)",0.5643184185028076
Preprocessing,10.293319184075452,0.002,0.002,15,462,"(0.9504113197896971, -1.4579059697510142, 0.003924263189996557, -0.5915499574022866, -0.9786768248570661, 0.16819288519595826)",0.020961761474609375
MIOSOS,10.293319184075452,0.002,0.002,15,462,"(0.9504113197896971, -1.4579059697510142, 0.003924263189996557, -0.5915499574022866, -0.9786768248570661, 0.16819288519595826)",960.011255979538
MIOSOS-Opt,10.293319184075452,0.002,0.002,15,462,"(0.9504113197896971, -1.4579059697510142, 0.003924263189996557, -0.5915499574022866, -0.9786768248570661, 0.16819288519595826)",958.9893188476562
MIOSOS-Build,10.293319184075452,0.002,0.002,15,462,"(0.9504113197896971, -1.4579059697510142, 0.003924263189996557, -0.5915499574022866, -0.9786768248570661, 0.16819288519595826)",0.4391918182373047
