Method,Duration,Sample Rate,Noise,Seed,x0,insample_r2,validation_r2,validation_mse,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,constraint_violation,runtime,threshold,nu,group_sparsity,alpha
SR3,90.0,0.01,0.020000000000000004,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.9642886015059118,0.963898503207395,0.36132700027841624,0.9999536357592426,0.021160321264933182,0.0055352251316085396,0.005600041968506064,0.006800831291827736,1.0,6.0,0.0,0.0,5.515461024703285e-05,2.4034011363983154,0.009540954763499945,3.3333333333333335,,
MIOSR,90.0,0.01,0.020000000000000004,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.9642919654604598,0.9639019204883966,0.36129368987967625,0.9999558181248271,0.02065358802928672,0.0055572020897221375,0.005669070018239093,0.006866393696475015,1.0,6.0,0.0,0.0,2.6098718049689013e-05,9.51693344116211,,,6.0,0.0001
Con-SR3,90.0,0.01,0.020000000000000004,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.9642916844957701,0.9639023993373896,0.36128895818312534,0.9999567766024399,0.01941945356061458,0.005508143114872809,0.005523338847288151,0.006360621194715255,1.0,6.0,0.0,0.0,4.625929269271485e-18,2.430067539215088,0.0035564803062231283,3.3333333333333335,,
Con-MIOSR,90.0,0.01,0.020000000000000004,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.9642917314468533,0.9639019137828347,0.3612939070061061,0.9999588316417352,0.024473004107163167,0.005556066169944192,0.005578764169181656,0.006432408014922952,1.0,6.0,0.0,0.0,0.0,10.41187071800232,,,6.0,0.0001
SR3,90.0,0.01,0.030000000000000006,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.922741861881637,0.9219297347584775,0.8125146441666014,0.99981063418339,0.04337713894392557,0.01181741564278148,0.011806494399281166,0.013574296930150997,1.0,6.0,0.0,0.0,7.035777996499543e-05,2.2838611602783203,0.012648552168552958,3.3333333333333335,,
MIOSR,90.0,0.01,0.030000000000000006,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.9227487281597382,0.9219356070632596,0.8124554183400596,0.9998143341376313,0.04236597894851439,0.011857918318937405,0.011921821881898357,0.013680352767685533,1.0,6.0,0.0,0.0,3.446743664270909e-05,9.514694213867188,,,6.0,0.0001
Con-SR3,90.0,0.01,0.030000000000000006,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.9227482317824327,0.9219368630708134,0.8124424195920148,0.9998174203423404,0.04018375006656735,0.011772455111508125,0.011749756303290948,0.013014930505719224,1.0,6.0,0.0,0.0,6.938893903907228e-18,2.4877736568450928,0.006250551925273976,3.3333333333333335,,
Con-MIOSR,90.0,0.01,0.030000000000000006,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.9227483331801902,0.9219354899612129,0.8124569453568069,0.9998223361442262,0.051314757008392976,0.011856525737425464,0.011840974272992138,0.013107474232941008,1.0,6.0,0.0,0.0,0.0,10.482347011566162,,,6.0,0.0001
SR3,90.0,0.01,0.04000000000000001,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.8696776713216785,0.8683872446958987,1.4433111348907268,0.9994665249123503,0.07336374645050675,0.020387364253832467,0.020293099649981904,0.022539443513397317,1.0,6.0,0.0,0.0,7.737222056911537e-05,2.276623010635376,0.016768329368110083,3.3333333333333335,,
MIOSR,90.0,0.01,0.04000000000000001,40,"(-0.5800195088280278, -2.7937175638422382, 1.8129181028336259, -1.3364009378448594)",0.8696884988665563,0.8683946531038609,1.4432329854640082,0.9994716404174696,0.07147583761101796,0.02045224659849452,0.020459089236885573,0.02268968958494022,1.0,6.0,0.0,0.0,3.982271124744705e-05,9.272751808166504,,,6.0,0.0001
