Method,Duration,Sample Rate,Noise,Pts/Domain,# Domains,Seed,x0,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime,threshold,alpha,nu,group_sparsity
SR3,50,0.002,0.029082809839751277,400,2400,34,"(2.129674802683904, -9.05223985675344, 0.1978845756805594)",0.9994514198758659,0.13732488019630953,0.047526963503825945,0.04886372738520737,0.0362249258841059,0.75,6.0,1.0,1.0,340.1664505004883,45.57605292814511,,3.3333333333333335,
E-STLSQ,50,0.002,0.029082809839751277,400,2400,34,"(2.129674802683904, -9.05223985675344, 0.1978845756805594)",0.9935472212200839,0.6606593217298478,0.18094393644920287,0.13678882924311284,0.11057488874071378,0.20588235294117646,7.0,27.0,0.0,17.174829959869385,12.40330819986167,0.05,,
MIOSR,50,0.002,0.029082809839751277,400,2400,34,"(2.129674802683904, -9.05223985675344, 0.1978845756805594)",0.9998507892158399,0.08929384820737471,0.01655887188167374,0.02371225836362334,0.025014763332095548,0.875,7,1,0,92.31033754348755,,"(0, 0, 0)",,"(2, 2, 4)"
STLSQ,50,0.002,0.04151278002752295,400,2400,34,"(2.129674802683904, -9.05223985675344, 0.1978845756805594)",0.991266264508662,0.7864214585043118,0.22352909291048675,0.18072696251141468,0.15855701053785318,0.21212121212121213,7.0,26.0,0.0,9.982640266418457,13.125365696122207,0.05,,
SSR,50,0.002,0.04151278002752295,400,2400,34,"(2.129674802683904, -9.05223985675344, 0.1978845756805594)",0.9994398654128455,0.1420381891667014,0.035358815289829815,0.040508290130131686,0.03508771929824561,0.8571428571428571,6,0,1,0.7501099109649658,,"(0.0, 0.001, 1e-05)",,
SR3,50,0.002,0.04151278002752295,400,2400,34,"(2.129674802683904, -9.05223985675344, 0.1978845756805594)",0.9993221246607178,0.16154517529878895,0.055301906102392974,0.05562036371628789,0.044147590840069806,0.75,6.0,1.0,1.0,340.814749956131,48.2292588419594,,3.3333333333333335,
E-STLSQ,50,0.002,0.04151278002752295,400,2400,34,"(2.129674802683904, -9.05223985675344, 0.1978845756805594)",0.9907279517984963,0.8002117020901844,0.2261809029952018,0.18285967851196744,0.16047251897097403,0.20588235294117646,7.0,27.0,0.0,17.2975435256958,12.40330819986167,0.05,,
MIOSR,50,0.002,0.04151278002752295,400,2400,34,"(2.129674802683904, -9.05223985675344, 0.1978845756805594)",0.9995394683470351,0.15400485726276955,0.03121668224542396,0.04447173521097388,0.046892617448888015,0.875,7,1,0,92.22348666191101,,"(0, 0, 0)",,"(2, 2, 4)"
STLSQ,50,0.002,0.05925530975545678,400,2400,34,"(2.129674802683904, -9.05223985675344, 0.1978845756805594)",0.9761754631816704,1.2002944366349915,0.4209279143729381,0.5017513307835417,0.5125562953362909,0.5454545454545454,6.0,4.0,1.0,9.968865394592285,36.34470950694874,1e-05,,
SSR,50,0.002,0.05925530975545678,400,2400,34,"(2.129674802683904, -9.05223985675344, 0.1978845756805594)",0.9986166496453761,0.254250240393011,0.07543665905181435,0.07510000492374216,0.06451055230151496,0.75,6,1,1,0.7580184936523438,,"(0.001, 0.001, 1e-05)",,
