Method,Duration,Sample Rate,Noise,Seed,Dim,x0,runtime
Preprocessing,3.7557236426468257,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.0015130043029785156
MIOSOS,3.7557236426468257,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.02837824821472168
MIOSOS-Opt,3.7557236426468257,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.0160369873046875
MIOSOS-Build,3.7557236426468257,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.00503230094909668
Preprocessing,6.217625127083679,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.002009153366088867
MIOSOS,6.217625127083679,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.04829716682434082
MIOSOS-Opt,6.217625127083679,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.030467987060546875
MIOSOS-Build,6.217625127083679,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.0050699710845947266
Preprocessing,10.293319184075452,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.0028569698333740234
MIOSOS,10.293319184075452,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.04356718063354492
MIOSOS-Opt,10.293319184075452,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.01948380470275879
MIOSOS-Build,10.293319184075452,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.0053517818450927734
Preprocessing,17.040657431039403,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.004354000091552734
MIOSOS,17.040657431039403,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.05029416084289551
MIOSOS-Opt,17.040657431039403,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.01634502410888672
MIOSOS-Build,17.040657431039403,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.0057392120361328125
Preprocessing,28.210920159872682,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.007458925247192383
MIOSOS,28.210920159872682,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.07205891609191895
MIOSOS-Opt,28.210920159872682,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.016644954681396484
MIOSOS-Build,28.210920159872682,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.0067021846771240234
Preprocessing,46.70336338180629,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.010645866394042969
MIOSOS,46.70336338180629,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.10269808769226074
MIOSOS-Opt,46.70336338180629,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.015687227249145508
MIOSOS-Build,46.70336338180629,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.009135007858276367
Preprocessing,77.31772444188466,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.018330812454223633
MIOSOS,77.31772444188466,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.16148781776428223
MIOSOS-Opt,77.31772444188466,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.021426916122436523
MIOSOS-Build,77.31772444188466,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.011306285858154297
Preprocessing,128.0,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.030278921127319336
MIOSOS,128.0,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.24471092224121094
MIOSOS-Opt,128.0,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.017447233200073242
MIOSOS-Build,128.0,0.002,0.002,10,21,"(0.10155675776003616, -0.753563433178239)",0.014979124069213867
