Method,Duration,Sample Rate,Noise,Seed,x0,insample_r2,validation_r2,validation_mse,test_r2,test_rmse,coef_l1,coef_l2,coef_linf,support_accuracy,support_tp,support_fp,support_fn,runtime,threshold,alpha,nu,group_sparsity
E-STLSQ,3.5263650199840852,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.4789875528282211,0.4987245066159307,0.008811268451094463,0.9038409994857505,0.07935326031317233,0.5924625549649045,0.6072751460083861,1.0,0.46153846153846156,6.0,5.0,2.0,7.519875764846802,0.1206792640639329,0.2,,
SR3,3.5263650199840852,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",-2.7931457595989357,-0.243566010906053,0.02307132123010467,0.46518546632623814,0.19886214129596036,0.5289981820749854,0.7090389371942453,1.0,0.375,3.0,0.0,5.0,7.974958658218384,0.8483428982440717,,0.3333333333333333,
SSR,3.5263650199840852,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.7886765009541825,0.5527852739946284,0.007770280571907007,0.9474507784554019,0.0619400073110152,0.6985689708696645,0.7449180107873976,1.0,0.45454545454545453,5,3,3,0.11173176765441895,,"(0.001, 0.0)",,
MIOSR,3.5263650199840852,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.7887451478394222,0.5571634660889836,0.00768615828000478,0.9993185830488525,0.006352658106192535,0.03061447912282023,0.05238158670452956,0.11780374929791337,0.875,7,0,1,84.98677706718445,,"(0, 0)",,"(4, 3)"
STLSQ,4.53725008878185,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.9206410260837176,0.568308568073503,0.006217667167414096,0.9986711354910055,0.00919754490966784,0.06323207287244945,0.07409181457007356,0.11747801642608979,0.75,6.0,0.0,2.0,1.5514812469482422,0.655128556859551,0.0,,
E-STLSQ,4.53725008878185,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.9204105153815247,0.568202350368326,0.006219996761450077,0.9985249967305606,0.009614790515012676,0.06473909979319739,0.07207658743202526,0.10834725642986376,0.75,6.0,0.0,2.0,8.838699102401733,0.49417133613238334,0.0,,
SR3,4.53725008878185,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.6769422087569842,0.510897532374583,0.006777284798643927,0.8957448137989854,0.08553082094101201,0.7939951197650423,1.1527029865053093,2.434670485427394,0.4444444444444444,4.0,1.0,4.0,13.38939118385315,0.7029732115325468,,0.03333333333333333,
SSR,4.53725008878185,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.9218087764895205,0.5725098462770715,0.006152142636095308,0.9999742328067791,0.0011436548728123003,0.007332842282310859,0.010955823011742926,0.024942912027222985,1.0,8,0,0,0.11677718162536621,,"(0.0, 0.0)",,
MIOSR,4.53725008878185,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.9218087764895206,0.5725098462770711,0.006152142636095313,0.9999742328067791,0.0011436548728132757,0.007332842282316886,0.01095582301175116,0.024942912027240527,1.0,8,0,0,87.57622194290161,,"(0, 0)",,"(4, 4)"
STLSQ,5.837920422725785,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.9576754431088945,0.627751207992757,0.005496660813559302,0.9999798500630785,0.0010005448404619454,0.005859079609629044,0.009458867279750083,0.021936156184588773,1.0,8.0,0.0,0.0,1.7021763324737549,0.03906939937054617,0.001,,
E-STLSQ,5.837920422725785,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.956694898942595,0.6244417302658524,0.005548447778588268,0.993112151058609,0.01688370834169372,0.16965524993656508,0.1950361709529431,0.3391681993945745,0.6666666666666666,6.0,1.0,2.0,10.10610556602478,0.10481131341546852,0.001,,
SR3,5.837920422725785,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.9569688052358425,0.6239046059468777,0.005556484500578154,0.9986150334149191,0.009423411034637019,0.06463897864436907,0.07852004533055644,0.13456254989587801,0.75,6.0,0.0,2.0,12.977574348449707,0.18858632787726495,,1.0,
SSR,5.837920422725785,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.9576754033367508,0.6277538514254868,0.005496617311336969,0.999977113025255,0.00106827159494372,0.006310818614715354,0.010147663280853338,0.02348463697779468,1.0,8,0,0,0.12271332740783691,,"(0.01, 0.01)",,
MIOSR,5.837920422725785,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.9576754431088945,0.627751207992757,0.005496660813559302,0.9999798500630785,0.0010005448404619454,0.005859079609629044,0.009458867279750083,0.021936156184588773,1.0,8,0,0,85.92191767692566,,"(0, 0)",,"(4, 4)"
STLSQ,7.511447285293651,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.9587356166656241,0.7529928044130306,0.0038201246687192595,0.9999834120248687,0.0009135295619870837,0.0056644013637454785,0.008508547661227255,0.019342970158892303,1.0,8.0,0.0,0.0,1.8220465183258057,0.014563484775012436,0.0,,
E-STLSQ,7.511447285293651,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.9586846869037245,0.7529397518225898,0.0038209541842900525,0.99976752117957,0.0037073843846969247,0.01774933465906469,0.025177031360761885,0.05524994316871923,1.0,8.0,0.0,0.0,11.183779954910278,0.025595479226995357,0.0,,
SR3,7.511447285293651,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.95818408933114,0.752083745198695,0.0038344805783047716,0.9993553082392385,0.006589715093618297,0.0377653265343996,0.05291400647246563,0.11305132968456788,0.875,7.0,0.0,1.0,9.721726417541504,0.05059197488435822,,0.1,
SSR,7.511447285293651,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.9587356166656242,0.7529928044130306,0.003820124668719259,0.9999834120248685,0.00091352956199071,0.0056644013637614996,0.008508547661261747,0.019342970158978123,1.0,8,0,0,0.13063764572143555,,"(0.0, 0.0)",,
MIOSR,7.511447285293651,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.9587356166656241,0.7529928044130306,0.0038201246687192595,0.9999834120248687,0.0009135295619870837,0.0056644013637454785,0.008508547661227255,0.019342970158892303,1.0,8,0,0,122.40355515480042,,"(0, 0)",,"(4, 4)"
STLSQ,9.66471555523558,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.9592226852204435,0.7314358444697968,0.003315074835299344,0.9999868693848011,0.0008075126641811358,0.004578586735506939,0.007404776364286553,0.017130316601743134,1.0,8.0,0.0,0.0,1.9054763317108154,0.004094915062380427,0.0,,
E-STLSQ,9.66471555523558,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.9592180639741599,0.7314370256920643,0.003315052903104185,0.9999966549978211,0.0004549344782227893,0.0038068113031486626,0.004394894760598149,0.00700923766941508,1.0,8.0,0.0,0.0,12.838195085525513,0.029470517025518096,0.0,,
SR3,9.66471555523558,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.9592226852204435,0.7314358444697968,0.003315074835299344,0.9999868693848011,0.0008075126641811358,0.004578586735506939,0.007404776364286553,0.017130316601743134,1.0,8.0,0.0,0.0,3.6106441020965576,0.004393970560760791,,0.03333333333333333,
SSR,9.66471555523558,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.9592226852204435,0.7314358444697968,0.003315074835299344,0.9999868693848011,0.0008075126641820743,0.004578586735512259,0.007404776364295427,0.01713031660176334,1.0,8,0,0,0.13825011253356934,,"(0.0, 0.0)",,
MIOSR,9.66471555523558,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.9592226852204435,0.7314358444697968,0.003315074835299344,0.9999868693848011,0.0008075126641811358,0.004578586735506939,0.007404776364286553,0.017130316601743134,1.0,8,0,0,82.5714054107666,,"(0, 0)",,"(4, 4)"
STLSQ,12.435250254167357,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.9631695913443216,0.7214064301169779,0.0025445185895273193,0.999990001597039,0.0007060073068131092,0.004100907737922189,0.006339422651469128,0.014472844851307953,1.0,8.0,0.0,0.0,2.117530107498169,0.0035564803062231283,0.001,,
E-STLSQ,12.435250254167357,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.9631641076642147,0.7214083229847632,0.0025445011305229937,0.9999982917495245,0.0003435789023101057,0.0020039734160128024,0.0024604842414370676,0.0038076513528637612,1.0,8.0,0.0,0.0,14.729314088821411,0.022229964825261943,0.001,,
SR3,12.435250254167357,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.9631695913443216,0.7214064301169779,0.0025445185895273193,0.999990001597039,0.0007060073068131092,0.004100907737922189,0.006339422651469128,0.014472844851307953,1.0,8.0,0.0,0.0,2.9612348079681396,0.005302611335911982,,0.03333333333333333,
SSR,12.435250254167357,0.002,0.002,42,"(-0.8639510912854572, 0.868958379197316)",0.9631691635909122,0.7214073175908831,0.0025445107180535817,0.9999895371551126,0.0007338433633752344,0.004669027448016207,0.006867014780073844,0.014472844851257882,1.0,8,0,0,0.14870119094848633,,"(0.05, 0.0)",,
